Code,名稱,網址,評分,餐點類型
yym8,有囍事沙拉。鮮茶。貓,/restaurant/yym8/you-xi-shi-sha-la-xian-cha-mao,4.7 stars out of 5,健康餐
yp0g,柒飲奶蓋專賣店,/restaurant/yp0g/qi-yin-nai-gai-zhuan-mai-dian,未知,飲料
z3od,樂邁炒飯,/restaurant/z3od/le-mai-chao-fan,4.8 stars out of 5,台式
ewgn,福客來牛肉麵 (彰化永安店),/restaurant/ewgn/fu-ke-lai-niu-rou-mian-zhang-hua-yong-an-dian,4.6 stars out of 5,台式
lpr8,頂呱呱TKK (彰化孔門店),/restaurant/lpr8/ding-gu-gu-tkk-zhang-hua-kong-men-dian,4.8 stars out of 5,歐美
z8jl,花赤鳥檸,/restaurant/z8jl/hua-chi-niao-ning,4.8 stars out of 5,甜點
u24d,夏夏叫綠豆沙專賣店,/restaurant/u24d/xia-xia-jiao-lu-dou-sha-zhuan-mai-dian,4.5 stars out of 5,飲料
a0cd,真手工鹽滷豆花.芋圓專賣,/restaurant/a0cd/zhen-shou-gong-yan-lu-dou-hua-yu-yuan-zhuan-mai,4.7 stars out of 5,甜點
ynaq,十夜日式關東煮,/restaurant/ynaq/shi-ye-ri-shi-guan-dong-zhu,5 stars out of 5,日式
c7ph,七悅雨,/restaurant/c7ph/qi-yue-yu,4.4 stars out of 5,飲料
vgrt,中壢馬祖新村 (彰化民生店),/restaurant/vgrt/zhong-li-ma-zu-xin-cun-zhang-hua-min-sheng-dian,4.9 stars out of 5,甜點
kkyn,老聰明沙鍋魚頭,/restaurant/kkyn/lao-cong-ming-sha-guo-yu-tou,4.7 stars out of 5,台式
m0yt,米樂早餐店,/restaurant/m0yt/mi-le-zao-can-dian,4.9 stars out of 5,早餐
cm0h,日十。早午食 (彰化自強南店),/restaurant/cm0h/ri-shi-zao-wu-shi-zhang-hua-zi-qiang-nan-dian,4.9 stars out of 5,早餐
m3jd,榕樹下陽春麵,/restaurant/m3jd/rong-shu-xia-yang-chun-mian,4.6 stars out of 5,台式
